run event track particle start_energy_[eV] start_x_[mm] start_y_[mm] start_z_[mm] start_t_[ns] energy_deposit_[eV] track_weight end_x_[mm] end_y_[mm] end_z_[mm] end_t_[ns]
0 0 431 phononTS 0.00644201 0.0612459 0.062128 0.12284 58.5457 0.00644201 1 -0.733137 -4.67427 -0.5 4726.52
0 0 433 phononTS 0.00250669 -1.0735 0.329078 -0.12333 959.525 0.00250669 1 27.9913 -5.5496 0.5 40815
0 0 435 phononTS 0.00418779 -0.0660867 1.99078 0.253318 8298.09 0.00418779 1 -2.62944 16.5602 0.5 21523.2
0 0 441 phononTS 0.00331351 1.07834 -4.23221 -0.398653 9897.38 0.00331351 1 18.4815 2.70885 -0.5 20399.9
0 0 440 phononTS 0.00415972 1.07834 -4.23221 -0.398653 9897.38 0.00415972 1 3.62114 -13.9675 0.5 45549.3
0 0 438 phononL 0.00465015 -0.23426 0.115201 0.396874 547.561 0.00465015 1 -3.66115 2.4727 0.5 5030.23
0 0 445 phononTF 0.00375388 3.58012 -4.50889 -0.0863491 15714.1 0.00375388 1 3.49625 -7.34974 0.5 23517.9
0 0 444 phononTS 0.00268835 3.58012 -4.50889 -0.0863491 15714.1 0.00268835 1 3.2929 7.63572 0.5 40626.8
0 0 451 phononTF 0.00292666 -7.77156 6.06374 -0.182169 13644.3 0.00292666 1 -8.76859 16.6569 0.5 27418.8
0 0 450 phononTS 0.00335813 -7.77156 6.06374 -0.182169 13644.3 0.00335813 1 10.7397 0.967798 0.5 36760.4
0 0 456 phononTF 0.00467917 -0.644104 0.788424 0.308155 3378.44 0.00467917 1 -1.81068 -0.540612 0.5 3911.62
0 0 454 phononTS 0.00337816 0.580743 -0.0261088 -0.248906 447.45 0.00337816 1 -2.32481 -15.0434 -0.5 13603.1
0 0 463 phononTS 0.00503761 -2.41765 -4.7005 -0.290427 8950.36 0.00503761 1 -6.22514 3.60936 0.5 30507.7
0 0 462 phononTS 0.00202837 -2.41765 -4.7005 -0.290427 8950.36 0.00202837 1 -3.02098 33.2968 0.5 20013.2
0 0 467 phononL 0.00123289 -1.55135 3.26473 0.453008 8417.3 0.00123289 1 -10.9776 -3.6329 0.5 47194.7
0 0 466 phononTF 0.00269475 -1.55135 3.26473 0.453008 8417.3 0.00269475 1 -3.64712 14.8009 0.5 12128.6
0 0 474 phononL 0.0048609 1.2841 -1.78071 0.0712376 6488.35 0.0048609 1 -4.8696 -13.3344 0.5 28712.7
0 0 477 phononTS 0.00346705 -0.59481 -0.427405 -0.0222274 445.343 0.00346705 1 -1.87761 -11.2466 0.5 23436.3
0 0 476 phononTS 0.00601517 -0.59481 -0.427405 -0.0222274 445.343 0.00601517 1 -1.11391 -0.296144 -0.5 714.47
0 0 481 phononTF 0.00410065 -0.10629 0.370546 0.195518 1387.03 0.00410065 1 -14.2918 -1.48845 -0.5 21235.8
0 0 483 phononTF 0.00404115 1.92284 1.27834 -0.0406475 15166.6 0.00404115 1 5.38327 -5.56606 0.5 38992.6
0 0 482 phononTF 0.00311455 1.92284 1.27834 -0.0406475 15166.6 0.00311455 1 11.7681 -11.2237 0.5 26950.6
0 0 485 phononTS 0.00349812 0.14884 0.368548 0.140827 2602.18 0.00349812 1 -1.7504 5.49534 -0.5 5890.85
0 0 484 phononTS 0.00624676 0.14884 0.368548 0.140827 2602.18 0.00624676 1 -0.00660626 4.97465 0.5 17421.9
0 0 491 phononTS 0.0051976 -0.526853 -0.67326 0.471939 605.827 0.0051976 1 8.91945 -6.24092 0.5 18464
0 0 490 phononTF 0.00243743 -0.526853 -0.67326 0.471939 605.827 0.00243743 1 14.6835 -14.8923 -0.5 28234.1
0 0 493 phononL 0.0045073 -0.0367519 -0.672499 0.0859352 1142.73 0.0045073 1 3.71033 1.63692 0.5 15037.9
